,ecg_id,r_peaks
53,54,[ 36  99 164 226 290 356 421 486 554 624 692 760 828 893]
54,55,[ 81 160 244 330 418 502 579 661 747 837 921]
55,56,[ 33 101 168 234 304 371 437 505 575 643 713 783 851 919]
56,57,[113 205 298 391 484 579 674 761 850 941]
57,58,[ 80 158 235 308 383 461 542 621 693 768 849 932]
58,59,[ 76 159 242 327 412 496 578 665 751 836 922]
59,60,[ 64 184 300 409 529 654 779 897]
60,61,[ 77 158 246 340 430 520 602 680 759 847 934]
61,62,[ 40 129 215 298 382 465 544 628 714 799 882]
62,63,[ 82 178 272 377 482 580 683 783 882]
63,64,[ 46 148 247 342 435 526 616 703 790 880]
64,65,[ 34 117 200 284 368 453 537 622 705 788 872]
65,66,[ 31 118 212 305 395 483 575 660 747 836 918]
66,67,[ 64 161 256 357 457 552 644 737 823 908]
67,68,[ 78 155 233 310 383 461 538 615 693 768 848 923]
68,69,[141 264 404 545 662 799 931]
69,70,[ 98 186 275 360 441 518 595 675 758 843 924]
70,71,[ 31 113 197 286 371 455 542 631 716 801 887]
71,72,[ 78 183 282 384 484 584 687 788 890]
72,73,[129 229 330 426 520 618 720 819 912]
73,74,[109 197 286 380 468 556 651 753 853 941]
74,75,[ 50 159 266 380 502 618 738 855]
75,76,[ 44 152 244 337 421 508 614 733 843 940]
76,77,[ 81 162 246 335 421 513 598 685 768 858 943]
77,78,[ 88 227 359 473 607 744 882]
78,79,[106 209 306 408 507 607 710 814 916]
79,80,[ 49 113 176 239 302 370 435 503 566 630 689 752 819 889]
80,81,[110 206 297 391 485 577 669 765 856 948]
81,82,[ 70 174 272 372 470 569 670 768 869]
82,83,[ 84 172 258 345 432 519 606 697 784 872]
83,84,[ 52 118 183 247 309 371 433 499 568 642 708 773 839 908]
84,85,[ 64 157 246 346 445 535 626 729 829 924]
85,86,[ 55 136 211 289 367 446 525 606 681 762 840 915]
86,87,[ 70 134 196 260 320 380 441 500 557 617 676 739 802 864 928]
87,88,[ 34 116 199 287 377 475 569 664 759 841 924]
88,89,[131 235 340 451 560 659 776 896]
89,90,[108 199 279 355 444 544 637 717 792 868]
90,91,[ 47 126 210 308 389 472 563 658 750 835 918]
91,92,[121 221 324 423 519 625 731 829 934]
92,93,[110 189 273 359 444 527 612 698 786 870]
93,94,[ 65 134 205 274 352 428 507 578 643 712 778 851 932]
94,95,[127 226 333 438 536 640 747 856]
95,96,[ 41 125 205 284 364 443 521 600 679 758 837 917]
96,97,[119 219 319 418 512 614 710 808 905]
97,98,[115 201 282 362 443 533 650 750 851]
98,99,[ 48 133 221 313 400 485 569 655 742 827 916]
99,100,[ 87 177 279 381 485 587 676 784 887]
100,101,[ 92 154 218 280 345 407 469 532 597 660 723 785 850 913]
101,102,[ 71 144 217 289 362 434 506 578 650 723 795 867 939]
102,103,[ 38  95 152 210 269 327 385 442 499 556 612 669 725 781 838 895]
103,104,[ 68 170 271 366 451 540 640 741 829 915]
104,105,[ 83 156 226 308 388 463 542 609 679 744 808 886]
105,106,[ 37 149 259 382 506 625 747 873]
106,107,[101 180 256 331 407 482 557 631 706 784 861 936]
107,108,[ 66 114 163 212 262 312 363 414 465 516 566 616 666 716 764 813 861 909]
108,109,[ 38 127 209 295 379 457 539 625 707 791 882]
109,110,[ 46 136 230 315 397 489 586 674 764 861]
110,111,[ 64 151 235 322 417 511 605 701 796 885]
111,112,[ 44 126 212 300 383 468 553 637 717 799 883]
112,113,[ 69 136 197 256 318 385 448 511 569 631 707 774 839 902]
113,114,[ 42 136 226 316 415 518 618 710 791 878]
114,115,[ 37 119 194 277 364 447 535 621 708 787 870]
115,116,[ 37 116 195 274 351 429 511 593 677 763 847 932]
116,117,[ 55 117 176 238 299 362 428 497 573 648 721 794 865 937]
117,118,[ 31 132 234 333 422 499 581 703 812 911]
118,119,[ 47 141 234 326 418 512 606 699 793 886]
119,120,[ 53 151 244 334 431 533 637 736 832 932]
120,121,[ 89 161 233 305 379 454 529 603 678 753 828 905]
121,122,[ 44 143 243 337 418 498 592 688 796 909]
122,123,[ 62 130 200 275 354 436 518 594 666 735 803 872 944]
123,124,[121 222 320 415 512 608 703 795 885]
124,125,[109 211 316 429 536 635 737 840 936]
125,126,[ 36 125 212 300 385 477 573 668 759 850 945]
126,127,[ 54 141 228 309 390 465 544 630 715 799 880]
127,128,[ 91 162 231 298 361 428 488 552 613 672 731 788 853 917]
128,129,[ 43 134 231 328 425 519 615 711 811 905]
129,130,[101 191 280 372 461 547 632 717 805 895]
130,131,[ 70 159 245 330 422 511 598 687 777 869]
131,132,[ 53 128 204 280 355 429 501 571 638 711 785 867]
132,133,[ 57 160 259 358 458 563 667 768 872]
133,134,[ 90 165 240 316 390 464 539 615 690 766 842 917]
134,135,[ 57 115 173 230 287 344 402 459 516 573 630 687 744 801 858 915]
135,136,[105 196 287 377 466 554 647 736 822 912]
136,137,[ 71 136 201 265 330 395 460 524 589 654 719 783 848 912]
137,138,[ 71 136 201 265 330 395 460 524 589 654 719 783 848 912]
138,139,[ 90 187 288 386 485 581 682 780 878]
139,140,[118 210 297 388 477 565 656 746 835 928]
140,141,[ 65 131 198 265 332 401 469 536 603 671 739 807 875 943]
141,142,[ 98 202 308 412 517 633 740 844]
142,143,[113 196 281 366 446 531 622 705 790 878]
143,144,[113 196 281 366 446 531 622 705 790 878]
144,145,[133 246 358 474 592 711 825 940]
145,146,[ 95 169 242 319 394 469 546 622 700 777 855 932]
146,147,[ 95 209 317 427 534 646 754 850]
147,148,[ 62 145 227 308 391 474 546 639 722 806 889]
148,149,[ 62 142 221 297 363 436 536 621 708 800 887]
149,150,[146 268 393 512 633 756 872]
150,151,[ 94 185 277 362 446 536 628 723 829 928]
151,152,[113 182 263 341 410 484 563 630 718 794 865]
152,153,[132 234 332 427 526 628 730 829 931]
153,154,[ 48 144 240 335 432 528 625 724 821 919]
154,155,[104 187 273 355 437 521 601 682 764 843 923]
155,156,[ 41 119 200 280 360 443 521 603 683 768 849 929]
156,157,[104 202 294 394 490 586 682 775 867]
157,158,[ 33 100 167 233 299 366 433 498 563 629 694 758 822 888]
158,159,[ 84 154 225 296 367 438 508 578 649 719 789 859 929]
159,160,[ 81 192 307 418 530 642 751 861]
160,161,[ 77 146 215 284 352 421 490 560 628 697 765 836 905]
161,162,[ 78 161 246 330 416 500 584 668 752 836 918]
162,163,[115 215 324 430 517 613 745 846 945]
163,164,[ 66 123 180 238 294 351 407 463 519 577 634 691 749 809 869 930]
164,165,[ 84 186 277 370 460 551 638 729 833 926]
165,166,[ 77 177 268 370 468 567 665 757 863]
166,167,[ 41 155 266 369 477 593 710 819 925]
167,168,[112 221 330 438 545 653 762 870]
168,169,[ 68 135 202 269 336 403 470 537 605 673 741 810 877 945]
169,170,[107 202 257 391 495 590 686 782 879]
170,171,[ 49 149 254 358 462 561 664 762 862]
171,172,[ 58 132 206 281 362 431 510 580 660 730 804 884]
172,173,[ 59 144 231 316 401 486 571 656 741 827 911]
173,174,[ 32 115 197 285 365 451 536 620 704 786 866]
174,175,[111 220 327 433 541 650 758 869]
175,176,[ 34 131 227 325 389 509 620 718 784 901]
176,177,[ 79 144 207 271 335 399 462 526 590 654 717 781 844 907]
177,178,[ 64 145 227 308 390 470 555 634 718 803 884]
178,179,[ 32 118 203 288 373 462 546 629 712 795 880]
179,180,[ 42 106 171 237 301 366 431 496 562 625 690 755 820 884 948]
180,181,"[ 51  97 133 175 214 256 299 336 379 424 477 520 579 618 679 724 763 810
 846 882 933]"
181,182,[102 194 287 381 474 567 660 753 846 938]
182,183,[ 46 121 194 272 349 424 502 578 653 729 804 878]
183,184,[ 49 135 214 301 392 478 558 642 729 821 900]
184,185,[ 96 184 273 360 446 532 619 706 792 879]
185,186,[ 99 223 348 468 595 721 843]
186,187,[ 57 128 201 270 344 420 490 561 636 729 823 909]
187,188,[ 36 127 219 309 399 490 580 671 762 853 944]
188,189,[ 60 147 240 320 407 492 584 670 750 843 928]
189,190,[104 190 275 360 445 531 616 697 783 868]
190,191,[151 341 544 725 924]
191,192,[ 35 108 182 256 329 401 475 548 621 693 766 840 911]
192,193,[101 171 239 304 372 440 512 589 667 744 819 891]
193,194,[106 209 315 419 523 630 737 843]
194,195,[ 41 125 212 300 388 476 564 649 734 818 902]
195,196,[113 219 326 431 540 645 750 853]
196,197,[ 63 152 240 331 425 522 620 715 810 906]
197,198,[ 59 144 232 322 404 490 580 674 763 852 946]
198,199,[ 65 124 182 240 300 362 429 493 557 618 680 742 804 866 930]
199,200,[ 49 136 221 302 382 465 549 633 718 802 882]
200,201,[ 50 115 178 246 309 370 437 502 568 632 689 750 813 877 945]
201,202,[ 77 169 256 351 448 531 613 702 797 896]
202,203,[ 76 186 291 398 507 618 724 831 940]
203,204,[ 38 120 202 284 364 443 522 602 683 763 845 929]
204,205,[ 83 166 260 347 430 525 626 725 824 920]
205,206,[ 35 145 257 370 480 593 710 826 937]
206,207,[ 91 198 306 413 516 618 722 827 932]
207,208,[ 91 192 293 400 502 594 687 778 872]
208,209,[111 203 293 379 464 547 636 729 824 914]
209,210,[111 195 279 363 446 526 604 679 753 829 909]
210,211,[119 210 301 390 481 571 662 753 843 933]
211,212,[ 45 144 246 342 442 537 637 736 831 930]
212,213,[100 200 298 396 494 592 689 789 856]
213,214,[ 99 181 262 340 421 499 582 666 752 839 920]
214,215,[ 52 118 184 248 312 374 436 497 559 621 683 747 811 873 935]
215,216,[ 37 103 169 235 301 366 431 496 561 625 689 754 819 884 949]
216,217,[ 69 133 197 267 331 395 459 523 587 651 717 785 848 913]
217,218,[ 73 143 213 284 354 422 492 560 629 696 767 835 905]
218,219,[ 38 121 202 283 364 446 527 608 689 772 839 935]
219,220,[ 51 127 202 275 347 419 493 564 635 706 778 847 919]
220,221,[ 99 194 292 388 479 566 658 751 846 937]
221,222,[ 48 100 151 202 253 303 353 402 453 503 553 604 655 707 759 812 865 918]
222,223,[ 98 177 238 328 412 494 575 654 715 805 889]
223,224,[ 49 140 233 324 418 510 598 689 780 871]
224,225,[118 224 325 428 528 624 724 824 920]
225,226,[ 67 144 221 299 377 455 534 613 691 769 847 926]
226,227,[ 49 126 204 284 364 444 525 614 703 791 877]
227,228,[ 80 185 284 387 472 557 646 737 855]
228,229,[ 73 170 267 363 458 552 638 728 826 923]
229,230,[ 48 121 191 261 332 405 479 550 617 686 759 831 900]
230,231,[ 73 188 318 445 566 676 789 910]
231,232,[ 85 173 261 350 439 529 619 705 791 875]
232,233,[ 31 123 212 303 391 475 555 641 733 823 913]
233,234,[ 43 114 186 259 334 409 483 558 632 706 779 852 921]
234,235,[ 41 158 268 383 498 614 733 852]
235,236,[ 93 165 243 316 389 465 535 602 677 748 824 898]
236,237,[ 43 136 229 321 409 499 594 687 782 876]
237,238,[103 184 264 342 419 495 570 647 725 801 878]
238,239,[111 200 290 382 473 565 657 747 837 928]
239,240,[ 73 193 314 434 556 678 800 921]
240,241,[ 84 161 246 322 400 479 557 631 702 774 846 922]
241,242,[105 202 289 369 456 510 625 717 809 902]
242,243,[ 71 141 218 296 377 454 534 612 691 772 859 945]
243,244,[130 245 364 476 594 717 840]
244,245,[ 77 139 201 265 329 397 461 524 586 647 708 768 829 892]
245,246,[ 79 165 244 322 400 480 563 643 721 798 878]
246,247,[128 219 317 414 507 602 696 787 879]
247,248,[ 47 105 169 228 290 354 422 490 553 617 679 740 801 861 922]
248,249,[ 59 127 192 257 326 396 465 533 598 663 727 793 864 934]
249,250,[113 197 280 366 447 523 606 698 795 894]
250,251,[ 81 164 244 321 390 459 535 630 716 796 878]
251,252,[103 181 258 340 423 505 587 663 742 819 897]
252,253,[ 84 192 298 411 525 635 748 863]
253,254,[107 204 306 405 501 601 699 792 888]
254,255,[103 172 216 309 378 422 515 583 651 718 786 831 923]
255,256,[ 56 128 200 271 332 415 471 559 629 703 775 848 921]
256,257,[ 78 146 213 281 348 400 452 530 596 664 734 803 872 941]
257,258,[ 87 209 333 455 577 703 831]
258,259,[103 186 270 355 436 517 602 687 772 856 937]
259,260,[ 48 123 196 269 343 417 492 566 639 715 790 866 941]
260,261,[ 42 127 214 302 390 479 568 658 746 831 918]
261,262,[ 70 170 269 368 466 558 658 756 849 944]
262,263,[ 66 122 177 233 289 345 400 456 512 568 623 679 736 793 848 904]
263,264,[120 222 327 432 539 647 756 863]
264,265,[ 89 166 248 329 411 492 574 656 736 817 897]
265,266,[ 72 121 228 307 387 436 553 637 726 823 919]
266,267,[ 58 151 245 334 422 512 603 693 780 869]
267,268,[ 64 160 250 337 428 518 609 702 797 891]
268,269,[ 95 173 248 320 390 467 551 628 696 755 849 932]
269,270,[ 40  98 156 213 270 327 385 442 503 562 621 683 744 805 867 929]
270,271,[ 82 146 212 259 301 382 452 519 585 650 716 782 846 910]
271,272,[110 202 294 388 484 577 672 767 861]
272,273,[ 45 105 169 228 290 350 412 470 531 593 654 714 777 836 900]
273,274,[ 93 180 271 361 453 540 626 712 803 895]
274,275,[ 78 145 211 278 346 414 483 552 620 687 756 827 897]
275,276,[ 68 159 246 339 428 519 608 698 787 875]
276,277,[ 74 157 237 314 387 465 548 632 715 802 889]
277,278,[ 91 155 219 284 350 416 480 543 606 668 730 792 854 916]
278,279,[ 70 122 174 226 277 330 383 435 488 540 593 645 697 750 800 851 903]
279,280,[ 73 172 269 368 466 566 664 761 859]
280,281,[ 63 135 277 348 420 483 564 635 707 779 850 924]
281,282,[ 99 171 250 356 417 478 558 635 711 775 834 922]
282,283,[ 31 123 215 302 394 479 570 663 751 839 931]
283,284,[ 97 203 347 486 606 713 816]
284,285,[ 61 134 206 278 350 422 493 565 638 712 787 861 935]
285,286,[ 99 211 322 431 535 650 759 868]
286,287,[ 79 146 214 282 350 419 489 559 612 700 770 840 910]
287,288,[133 246 362 482 598 707 818 936]
288,289,[ 80 204 329 449 572 690 813 932]
289,290,[ 98 184 271 357 444 531 616 699 782 867]
290,291,[ 62 125 185 245 305 364 430 493 554 613 670 731 792 855 913]
291,292,[ 96 207 317 428 536 643 754 862]
292,293,[ 82 167 251 334 416 496 572 651 730 811 896]
293,294,[ 37 111 181 249 316 387 456 524 593 660 731 792 868 937]
294,295,[ 73 161 250 338 423 513 598 687 774 862]
295,296,[ 77 173 270 368 464 559 657 755 851 948]
296,297,[109 198 284 370 457 544 630 717 754 885]
297,298,[ 59 120 181 240 301 362 423 484 546 609 670 732 793 855 917]
298,299,[ 35 122 201 287 370 449 535 617 699 778 864 943]
299,300,[ 88 166 243 320 397 474 552 628 704 781 860 935]
300,301,[ 57 132 208 284 363 444 524 605 684 766 846 924]
301,302,[ 70 175 276 378 483 588 693 794 893]
302,303,[ 52 124 192 264 337 411 483 559 638 716 794 876]
303,304,[ 61  91 142 227 309 395 479 564 645 729 813 896]
304,305,[ 34 102 175 251 333 404 483 558 643 716 793 867]
305,306,[ 71 141 211 281 349 416 484 557 627 698 766 836 905]
306,307,[ 52 229 313 426 502 584 679 816 913]
307,308,[ 74 180 286 392 499 605 711 816 922]
308,309,[101 195 288 378 475 571 669 766 858]
309,310,[105 210 312 412 513 614 715 816 917]
310,311,[ 56 172 288 403 517 632 744 860]
311,312,[ 88 170 250 330 407 487 566 644 721 801 883]
312,313,[ 93 197 297 400 501 601 699 797 900]
313,314,[100 193 285 374 464 553 640 721 800 883]
314,315,[ 99 201 302 406 510 614 716 818 919]
315,316,[ 95 193 296 426 556 689 750 863 920]
316,317,[ 58 152 245 336 427 518 610 702 796 891]
317,318,[ 41 103 169 248 325 385 447 512 565 628 704 772 833 886]
318,319,[114 199 284 369 452 535 618 702 787 872]
319,320,[103 213 322 432 542 651 761 871]
320,321,[ 52 117 167 251 297 381 451 524 583 637 686 764 821 868 928]
321,322,[121 224 333 443 548 651 781 900]
322,323,[ 54 130 216 300 382 469 556 644 729 819 906]
323,324,[ 96 188 280 360 439 523 608 686 767 846 927]
324,325,[107 191 274 359 441 521 600 678 758 842 929]
325,326,[ 63 139 217 295 374 452 528 606 686 764 842 920]
326,327,[118 212 306 400 497 594 688 783 878]
327,328,[ 96 203 303 405 516 645 762 870]
328,329,[ 90 153 217 281 346 415 481 548 614 676 740 804 869 935]
329,330,[167 273 364 440 539 642 722 793 883]
330,331,[ 88 164 242 318 396 474 552 628 707 783 858 935]
331,332,[108 188 266 343 419 496 573 651 729 807 885]
332,333,[ 65 142 221 303 382 465 547 629 712 796 880]
333,334,[ 31 137 240 340 447 551 653 752 852]
334,335,[ 66 158 249 338 428 519 614 707 802 900]
335,336,"[ 41  82 120 160 199 238 277 317 356 397 437 475 516 555 593 634 674 712
 751 790 831 869 909 949]"
336,337,[127 221 288 366 432 491 548 594 643 695 746 814 881]
337,338,[ 35 124 196 283 442 514 602 681 761 833 913]
338,339,[ 89 157 224 289 360 424 495 563 631 697 773 852 930]
339,340,[ 95 180 267 355 444 531 618 705 793 882]
340,341,[ 55 131 208 286 367 442 518 594 671 750 827 901]
341,342,[ 42 136 231 327 422 517 611 703 795 888]
342,343,[ 95 176 258 339 420 498 581 666 751 841 928]
343,344,[ 90 152 213 274 335 397 459 521 582 643 706 769 831 893]
344,345,[ 96 194 289 372 456 543 635 728 823 913]
345,346,[ 47 109 171 232 294 356 416 477 539 600 661 722 784 845 907]
346,347,[ 80 143 209 274 340 408 471 537 605 668 734 800 865 933]
347,348,[ 92 168 245 319 394 470 545 621 696 771 847 922]
348,349,[ 49 131 182 297 380 465 521 636 719 804 888 946]
349,350,[ 60 144 216 301 389 478 564 638 727 816 904]
350,351,"[ 38  77 115 153 189 230 268 318 362 406 450 486 526 561 597 634 675 710
 774 812 850 883 916]"
351,352,[ 43 118 188 266 344 419 502 576 649 743 840 934]
352,353,[ 41 102 163 220 276 334 396 459 526 593 661 726 790 853 915]
353,354,[ 74 181 290 396 506 617 724 828 935]
354,355,[ 93 162 235 307 382 456 529 603 678 755 829 904]
355,356,[ 61 159 252 334 414 496 580 668 762 855]
356,357,[ 77 173 292 401 517 633 747 815 934]
357,358,[ 80 172 264 357 452 547 641 736 832 925]
358,359,[ 38 129 217 308 396 490 585 682 782 874]
359,360,[ 42 119 194 270 345 419 492 564 638 714 792 869 947]
360,361,[ 88 159 226 294 363 429 497 564 633 700 765 833 902]
361,362,[ 73 185 281 381 476 587 707 817 932]
362,363,[ 78 111 221 258 350 388 472 531 588 644 682 773 832 878]
363,364,[119 219 315 428 545 656 755 865]
364,365,[115 219 318 418 525 629 730 837 947]
365,366,[ 88 170 254 332 404 471 546 615 681 747 816 882]
366,367,[ 41 110 180 251 320 392 465 538 617 694 772 846 920]
367,368,[ 42 135 227 321 414 507 599 690 783 875]
368,369,[ 69 138 209 278 349 419 486 553 619 685 754 823 895]
369,370,[ 91 175 260 341 421 502 587 670 754 834 919]
370,371,[ 54 141 248 342 446 547 642 737 836 932]
371,372,[ 98 214 336 446 569 687 799 921]
372,373,[121 212 296 389 485 576 662 752 844 935]
373,374,[123 214 298 386 473 560 649 732 815 894]
374,375,[ 72 160 242 328 415 504 596 689 789 886]
375,376,[110 214 314 417 522 628 725 836 945]
376,377,[ 57 119 180 240 302 365 427 489 550 611 671 732 794 857 921]
377,378,[ 85 169 251 330 404 481 604 712 807 889]
378,379,[ 58 144 229 319 402 487 572 660 759 855]
379,380,[108 196 288 379 465 559 650 738 829 917]
380,381,[120 234 356 487 627 777 919]
381,382,[111 177 238 297 371 450 519 588 669 760 828 924]
382,383,[138 267 403 531 667 800 928]
383,384,[ 58 157 254 351 444 539 635 726 818 911]
384,385,[ 40 124 209 296 380 465 550 636 722 804 891]
385,386,[ 42  99 149 191 270 323 385 444 482 559 613 670 732 779 843 887 925]
386,387,[ 77 166 242 315 398 486 576 663 753 831 906]
387,388,[ 82 156 231 302 375 446 525 602 675 752 823 891]
388,389,[ 68 149 232 315 396 477 559 640 725 807 885]
389,390,[ 83 199 310 420 527 630 736 853]
390,391,[ 70 129 191 251 311 372 433 493 555 615 675 738 799 860 922]
391,392,[ 88 175 262 346 425 506 598 688 768 841 920]
392,393,[ 64 155 250 345 428 507 598 699 794 886]
393,394,[122 237 341 445 558 671 765 876]
394,395,[ 66 144 225 301 378 458 538 617 695 770 848 929]
395,396,[ 65 163 275 381 471 557 640 735 845]
396,397,[ 37 127 213 304 396 479 574 661 743 839 940]
397,398,[ 46 129 212 291 362 434 503 574 650 724 795 863 931]
398,399,[ 38 116 193 268 344 417 490 564 641 718 794 874]
399,400,[ 90 165 251 342 432 519 604 689 774 860 941]
400,401,[100 207 315 416 515 629 744 842 942]
401,402,[ 80 168 258 342 430 514 590 666 752 863]
402,403,[ 57 124 203 282 364 444 525 600 676 746 819 892]
403,404,[101 210 318 429 541 647 755 867]
404,405,[105 198 289 380 471 563 653 746 834 921]
405,406,[ 80 186 293 396 500 606 709 811 915]
406,407,[128 229 328 427 526 625 723 821 920]
407,408,[ 62 127 191 256 320 384 448 512 576 640 703 765 827 891]
408,409,[ 31  95 158 222 285 348 411 474 537 600 663 727 790 854 917]
409,410,[ 49 166 285 406 522 640 758 872]
410,411,[ 62 152 241 330 418 505 594 682 771 861]
411,412,[ 35 106 177 248 318 388 458 528 597 667 738 808 879]
412,413,[115 204 293 379 469 561 650 738 830 923]
413,414,[ 81 159 240 318 394 473 552 631 710 792 869 949]
414,415,[114 206 299 392 483 571 658 742 826 910]
415,416,[110 244 358 453 541 643 756 878]
416,417,[120 228 337 445 554 661 769 879]
417,418,[100 200 297 401 505 609 711 812 914]
418,419,[105 211 319 427 531 638 743 846 945]
419,420,[138 258 369 484 596 702 818 935]
420,421,[ 97 193 285 381 481 540 650 750 847 945]
421,422,[ 44 117 190 263 335 409 482 557 631 706 780 855 930]
422,423,[ 86 177 254 324 374 419 462 525 585 628 670 708 753 828 874]
423,424,[ 56 139 222 305 389 471 554 638 722 807 891]
424,425,[100 166 232 297 362 429 497 564 630 696 744 826 891]
425,426,[ 33 118 205 286 373 458 546 634 724 814 900]
426,427,[ 86 148 235 312 388 447 538 612 676 760 828 913]
427,428,[ 66 115 184 245 291 358 417 461 499 560 614 685 740 801 856 933]
428,429,[ 72 181 286 391 496 603 713 817 918]
429,430,[ 36 144 254 362 469 576 686 796 901]
430,431,[ 37 110 180 251 325 402 481 561 637 707 776 848 920]
431,432,[112 200 277 354 438 523 597 667 739 827 910]
432,433,[ 40 122 205 289 372 454 532 608 683 757 831 906]
433,434,[101 190 281 371 454 532 624 719 807 894]
434,435,[ 38 134 227 322 413 507 595 682 773 864]
435,436,[ 89 172 252 334 379 511 598 689 785 885]
436,437,[ 53 139 225 312 399 487 574 660 749 837 926]
437,438,[106 196 289 382 478 571 663 756 847 937]
438,439,[ 45 123 205 286 368 446 527 608 688 765 846 929]
439,440,[ 45 132 215 287 373 447 521 592 663 736 815 886]
440,441,[ 52 121 191 260 329 397 468 539 610 681 750 822 889]
441,442,[ 51 124 196 270 345 418 490 565 637 712 784 857 930]
442,443,[ 44 129 212 295 379 462 545 630 714 799 884]
443,444,[110 198 289 381 467 548 628 710 794 883]
444,445,[119 238 358 478 599 718 836]
445,446,[ 69 165 263 364 466 567 666 761 859]
446,447,[ 43 121 197 271 345 419 495 572 652 733 815 897]
447,448,[ 66 165 255 346 435 524 612 702 792 881]
448,449,"[ 63  98 132 168 204 240 276 312 347 383 415 447 481 514 548 582 618 652
 688 720 758 818 853 888 923]"
449,450,[ 55 139 224 309 395 479 563 648 732 814 899]
450,451,[110 201 286 370 458 546 635 724 815 906]
451,452,[ 44 127 210 282 337 422 494 560 644 737 815 901]
452,453,[ 74 183 290 399 508 615 724 835 945]
453,454,[ 53 158 266 375 483 590 695 800 903]
454,455,[ 46 128 217 291 374 457 538 627 706 787 862 942]
455,456,[ 67 170 274 376 482 585 690 793 899]
456,457,[ 67 170 274 376 482 585 690 793 899]
457,458,[137 243 352 460 566 673 778 883]
458,459,[ 67 153 242 326 408 493 579 663 744 828 909]
459,460,[ 67 153 242 326 408 493 579 663 744 828 909]
460,461,[111 206 299 393 488 581 674 767 859]
461,462,[ 40 135 229 326 422 519 619 721 821 921]
462,463,[133 246 358 474 592 711 825 940]
463,464,[ 81 160 240 320 397 473 549 626 704 783 863 941]
464,465,[ 41  94 149 202 252 305 358 410 462 517 568 622 676 730 784 837 890 943]
465,466,[ 96 186 276 368 466 557 645 736 826 920]
466,467,[ 77 157 232 302 373 445 519 595 670 748 820 899]
467,468,[ 52 139 224 309 401 487 574 664 750 839 927]
